name,country,role,number,goals,passes,games,minutes,g+p,penalties,doubles,hattrick,autogoals,yellow,doubleYellow,red,fairPlay
Килиан Мбаппе,Франция,нападающий,10,5,2,4,297,7,0,2,0,0,0,0,0,0
Альваро Мората,Испания,нападающий,7,3,1,3,126,4,0,0,0,0,0,0,0,0
Маркус Рэшфорд,Англия,нападающий,11,3,0,4,132,3,0,1,0,0,0,0,0,0
Букайо Сака,Англия,полузащитник,17,3,0,3,213,3,0,1,0,0,0,0,0,0
Оливье Жиру,Франция,нападающий,9,3,0,3,228,3,0,1,0,0,0,0,0,0
Эннер Валенсия,Эквадор,нападающий,13,3,0,3,256,3,1,1,0,0,0,0,0,0
Коди Гакпо,Нидерланды,нападающий,8,3,0,4,340,3,0,0,0,0,0,0,0,0
Лионель Месси,Аргентина,нападающий,10,3,1,4,360,4,1,0,0,0,0,0,0,0
Никлас Фюллькруг,Германия,нападающий,9,2,1,3,66,3,0,0,0,0,0,0,0,0
Кай Хаверц,Германия,полузащитник,7,2,0,2,102,2,0,1,0,0,0,0,0,0
Джорджиан Де Арраскаэта,Уругвай,полузащитник,10,2,0,2,108,2,0,1,0,0,0,0,0,0
Венсан Абубакар,Камерун,нападающий,10,2,1,3,140,3,0,0,0,0,0,1,0,3
Ферран Торрес,Испания,нападающий,11,2,0,3,144,2,1,1,0,0,0,0,0,0
Ришарлисон,Бразилия,нападающий,9,2,0,2,152,2,0,1,0,0,0,0,0,0
Бруну Фернандеш,Португалия,полузащитник,8,2,2,2,180,4,1,1,0,0,1,0,0,1
Чо Ге Сон,Южная Корея,нападающий,9,2,0,3,195,2,0,1,0,0,1,0,0,1
Хулиан Альварес,Аргентина,нападающий,9,2,0,4,208,2,0,0,0,0,0,0,0,0
Рицу Доан,Япония,нападающий,8,2,0,4,217,2,0,0,0,0,0,0,0,0
Брель Эмболо,Швейцария,нападающий,7,2,0,3,237,2,0,0,0,0,0,0,0,0
Мохаммед Кудус,Гана,полузащитник,20,2,0,3,249,2,0,1,0,0,1,0,0,1
Александар Митрович,Сербия,нападающий,9,2,0,3,263,2,0,0,0,0,1,0,0,1
Мехди Тареми,Иран,нападающий,9,2,1,3,270,3,1,1,0,0,0,0,0,0
Салем Аль-Досари,Саудовская Аравия,полузащитник,10,2,0,3,270,2,0,0,0,0,1,0,0,1
Андрей Крамарич,Хорватия,нападающий,9,2,0,4,276,2,0,1,0,0,0,0,0,0
Роберт Левандовски,Польша,нападающий,9,2,1,4,360,3,1,0,0,0,0,0,0,0
Хван Хи Чхан,Южная Корея,нападающий,11,1,0,1,24,1,0,0,0,0,1,0,0,1
Карлос Солер,Испания,полузащитник,19,1,0,1,33,1,0,0,0,0,0,0,0,0
Ловро Майер,Хорватия,полузащитник,7,1,0,4,37,1,0,0,0,0,0,0,0,0
Закария Абухляль,Марокко,нападающий,14,1,0,2,42,1,0,0,0,0,0,0,0,0
Осман Букари,Гана,нападающий,11,1,0,2,57,1,0,0,0,0,0,0,0,0
Рузбех Чешми,Иран,защитник,15,1,0,2,58,1,0,0,0,0,0,0,0,0
Рафаэл Леау,Португалия,нападающий,15,1,0,3,59,1,0,0,0,0,0,0,0,0
Мохаммед Мунтари,Катар,нападающий,9,1,0,3,60,1,0,0,0,0,0,0,0,0
Душан Влахович,Сербия,нападающий,18,1,0,2,79,1,0,0,0,0,0,0,0,0
Джек Грилиш,Англия,полузащитник,7,1,0,4,81,1,0,0,0,0,0,0,0,0
Вахби Хазри,Тунис,нападающий,10,1,0,2,83,1,0,0,0,0,0,0,0,0
Рикардо Орта,Португалия,нападающий,21,1,0,1,90,1,0,0,0,0,0,0,0,0
Фамара Дьедиу,Сенегал,нападающий,19,1,0,2,92,1,0,0,0,0,0,0,0,0
Бамба Дьенг,Сенегал,нападающий,20,1,0,4,96,1,0,0,0,0,0,0,0,0
Хаджи Райт,США,нападающий,19,1,0,4,135,1,0,0,0,0,0,0,0,0
Рахим Стерлинг,Англия,нападающий,10,1,1,2,139,2,0,0,0,0,0,0,0,0
Джердан Шакири,Швейцария,полузащитник,23,1,1,2,141,2,0,0,0,0,0,0,0,0
Генри Мартин,Мексика,нападающий,20,1,0,2,148,1,0,0,0,0,0,0,0,0
Миши Батшуайи,Бельгия,нападающий,23,1,0,2,153,1,0,0,0,0,0,0,0,0
Марко Ливая,Хорватия,нападающий,14,1,0,4,157,1,0,0,0,0,0,0,0,0
Такума Асано,Япония,нападающий,18,1,0,4,161,1,0,0,0,0,0,0,0,0
Марко Асенсио,Испания,нападающий,10,1,0,3,168,1,0,0,0,0,0,0,0,0
Жоау Феликс,Португалия,нападающий,11,1,0,2,170,1,0,0,0,0,1,0,0,1
Ао Танака,Япония,полузащитник,17,1,0,3,172,1,0,0,0,0,0,0,0,0
Филип Фоден,Англия,полузащитник,20,1,2,3,174,3,0,0,0,0,0,0,0,0
Каземиро,Бразилия,полузащитник,5,1,0,2,180,1,0,0,0,0,0,0,0,0
Жан-Шарль Кастеллетто,Камерун,защитник,21,1,1,2,180,2,0,0,0,0,0,0,0,0
Рамин Резаян,Иран,защитник,23,1,0,2,180,1,0,0,0,0,1,0,0,1
Даидзэн Маэда,Япония,нападающий,25,1,0,3,183,1,0,0,0,0,0,0,0,0
Илкай Гюндоган,Германия,полузащитник,21,1,0,3,192,1,1,0,0,0,0,0,0,0
Дэви Классен,Нидерланды,полузащитник,14,1,2,4,192,3,0,0,0,0,0,0,0,0
Джордан Хендерсон,Англия,полузащитник,8,1,0,3,193,1,0,0,0,0,0,0,0,0
Андре Айю,Гана,нападающий,10,1,0,3,201,1,0,0,0,0,1,0,0,1
