name,tour,date,game,score,audience,capacity
Стэдиум 974,Группа C. 1-й тур,22.11.2022,Мексика - Польша,0 : 0,39369,44089
Стэдиум 974,Группа H. 1-й тур,24.11.2022,Португалия - Гана,3 : 2,42662,44089
Стэдиум 974,Группа D. 2-й тур,26.11.2022,Франция - Дания,2 : 1,42860,44089
Стэдиум 974,Группа G. 2-й тур,28.11.2022,Бразилия - Швейцария,1 : 0,43649,44089
Стэдиум 974,Группа C. 3-й тур,30.11.2022,Польша - Аргентина,0 : 2,44089,44089
Стэдиум 974,Группа G. 3-й тур,02.12.2022,Сербия - Швейцария,2 : 3,41378,44089
Стэдиум 974,1/8 финала,05.12.2022,Бразилия - Южная Корея,– : –,0,44089
Халифа Интернейшнл,Группа B. 1-й тур,21.11.2022,Англия - Иран,6 : 2,45334,45857
Халифа Интернейшнл,Группа E. 1-й тур,23.11.2022,Германия - Япония,1 : 2,42608,45857
Халифа Интернейшнл,Группа A. 2-й тур,25.11.2022,Нидерланды - Эквадор,1 : 1,44833,45857
Халифа Интернейшнл,Группа F. 2-й тур,27.11.2022,Хорватия - Канада,4 : 1,44374,45857
Халифа Интернейшнл,Группа A. 3-й тур,29.11.2022,Эквадор - Сенегал,1 : 2,44569,45857
Халифа Интернейшнл,Группа E. 3-й тур,01.12.2022,Япония - Испания,2 : 1,44851,45857
Халифа Интернейшнл,1/8 финала,03.12.2022,Нидерланды - США,3 : 1,44846,45857
Халифа Интернейшнл,За 3-е место,17.12.2022,,– : –,0,45857
Эдьюкейшн Сити,Группа D. 1-й тур,22.11.2022,Дания - Тунис,0 : 0,42925,44667
Эдьюкейшн Сити,Группа H. 1-й тур,24.11.2022,Уругвай - Южная Корея,0 : 0,41663,44667
Эдьюкейшн Сити,Группа C. 2-й тур,26.11.2022,Польша - Саудовская Аравия,2 : 0,44259,44667
Эдьюкейшн Сити,Группа H. 2-й тур,28.11.2022,Южная Корея - Гана,2 : 3,43983,44667
Эдьюкейшн Сити,Группа D. 3-й тур,30.11.2022,Тунис - Франция,1 : 0,43627,44667
Эдьюкейшн Сити,Группа H. 3-й тур,02.12.2022,Южная Корея - Португалия,2 : 1,44097,44667
Эдьюкейшн Сити,1/8 финала,06.12.2022,Марокко - Испания,– : –,0,44667
Эдьюкейшн Сити,1/4 финала,09.12.2022,,– : –,0,44667
Эль-Байт,Группа A. 1-й тур,20.11.2022,Катар - Эквадор,0 : 2,67372,68895
Эль-Байт,Группа F. 1-й тур,23.11.2022,Марокко - Хорватия,0 : 0,59407,68895
Эль-Байт,Группа B. 2-й тур,25.11.2022,Англия - США,0 : 0,68463,68895
Эль-Байт,Группа E. 2-й тур,27.11.2022,Испания - Германия,1 : 1,68895,68895
Эль-Байт,Группа A. 3-й тур,29.11.2022,Нидерланды - Катар,2 : 0,66784,68895
Эль-Байт,Группа E. 3-й тур,01.12.2022,Коста-Рика - Германия,2 : 4,67054,68895
Эль-Байт,1/8 финала,04.12.2022,Англия - Сенегал,3 : 0,65985,68895
Эль-Джануб,Группа D. 1-й тур,22.11.2022,Франция - Австралия,4 : 1,40875,44325
